ID,SalePrice
1461,127540.63
1462,160827.5
1463,188033.03
1464,193356.66
1465,187758.16
1466,174856.86
1467,178451.73
1468,166232.23
1469,182785.19
1470,123746.37
1471,198539.78
1472,90469.18
1473,98206.086
1474,152124.88
1475,120886.94
1476,379531.2
1477,264275.12
1478,279353.6
1479,269023.47
1480,485495.38
1481,331948.53
1482,207383.66
1483,166106.4
1484,167089.88
1485,173791.7
1486,192389.33
1487,369513.12
1488,237114.16
1489,208812.34
1490,217946.84
1491,188019.77
1492,93954.805
1493,195994.81
1494,291033.03
1495,282348.03
1496,242654.06
1497,183976.69
1498,160694.12
1499,157416.28
1500,152062.78
1501,173750.78
1502,146333.75
1503,298500.62
1504,248598.75
1505,230446.17
1506,190024.84
1507,251572.58
1508,205103.47
1509,169414.86
1510,150485.97
1511,149035.05
1512,172164.52
1513,151144.56
1514,161565.25
1515,198012.4
1516,146831.0
1517,163368.73
1518,130971.11
1519,219135.45
1520,134806.53
1521,134442.94
1522,176501.1
1523,109464.484
1524,126550.76
1525,123322.836
1526,113268.46
1527,109181.31
1528,131724.94
1529,154539.94
1530,168040.69
1531,100981.31
1532,90965.87
1533,140677.48
1534,120091.44
1535,149246.11
1536,105294.055
1537,70773.65
1538,151588.73
1539,194583.28
1540,81124.055
1541,146127.08
1542,137078.38
1543,212678.14
1544,78199.04
1545,114914.336
1546,131739.14
1547,126317.56
1548,134697.81
1549,116333.58
1550,140302.47
1551,114382.96
1552,132840.52
1553,148841.73
1554,119619.36
1555,161327.83
1556,78435.95
1557,107271.01
1558,96997.086
1559,85973.914
1560,131650.34
1561,127729.55
1562,127209.74
1563,120775.97
1564,158180.16
1565,149727.4
1566,238214.11
1567,71303.02
1568,233191.06
1569,134123.3
1570,137463.64
1571,124637.734
1572,149434.11
1573,224452.58
1574,108250.484
1575,201096.12
1576,227945.88
1577,196070.72
1578,142644.61
1579,144116.6
1580,196256.3
1581,150352.12
1582,130266.055
1583,326197.12
1584,228595.92
1585,139683.39
1586,71962.53
1587,99075.58
1588,157859.17
1589,102267.38
1590,138037.08
1591,94290.695
1592,116674.12
1593,130800.1
1594,132621.4
1595,103285.45
1596,226222.9
1597,189421.97
1598,206036.45
1599,176383.3
1600,172495.17
1601,63799.18
1602,114994.805
1603,100261.42
1604,259029.66
1605,245813.58
1606,170539.2
1607,166253.95
1608,206714.67
1609,189119.81
1610,154894.06
1611,132051.33
1612,172378.42
1613,166768.14
1614,116429.914
1615,83910.2
1616,75843.94
1617,90271.91
1618,125379.38
1619,138572.97
1620,145364.98
1621,139197.88
1622,143332.7
1623,285425.16
1624,203827.44
1625,116763.61
1626,164392.42
1627,189855.11
1628,272961.5
1629,178184.75
1630,372150.66
1631,228031.33
1632,244907.56
1633,162408.1
1634,183985.64
1635,181536.31
1636,153943.47
1637,200441.69
1638,195463.94
1639,180432.88
1640,257187.95
1641,183434.45
1642,221228.11
1643,232228.11
1644,232098.81
1645,193178.8
1646,164378.62
1647,148069.84
1648,133395.8
1649,140150.02
1650,116726.65
1651,113394.375
1652,92072.64
1653,95985.32
1654,148020.3
1655,146779.33
1656,148308.27
1657,151185.22
1658,143660.33
1659,124012.77
1660,149673.02
1661,448369.7
1662,413511.16
1663,389364.62
1664,420648.38
1665,312984.44
1666,314694.94
1667,374344.03
1668,339066.84
1669,292186.03
1670,360392.0
1671,257400.45
1672,449931.44
1673,291759.16
1674,246362.28
1675,179386.44
1676,186997.27
1677,225862.25
1678,409986.16
1679,382410.16
1680,352907.78
1681,260963.92
1682,295017.94
1683,164894.4
1684,174710.34
1685,171022.77
1686,164478.52
1687,161664.97
1688,187822.81
1689,198421.86
1690,194354.8
1691,174744.67
1692,268150.28
1693,162498.89
1694,186350.84
1695,166610.75
1696,267989.47
1697,171613.23
1698,370897.8
1699,321095.8
1700,241733.4
1701,266287.16
1702,251434.66
1703,257799.66
1704,292497.16
1705,231133.55
1706,399954.1
1707,222772.58
1708,201344.64
1709,271409.25
1710,233233.77
1711,257700.84
1712,277479.3
1713,270640.03
1714,220088.39
1715,210500.47
1716,193767.58
1717,175226.11
1718,130449.42
1719,194546.55
1720,243073.52
1721,166384.17
1722,121312.516
1723,152069.75
1724,211634.33
1725,237737.73
1726,184044.42
1727,156571.86
1728,181452.7
1729,159619.0
1730,164351.52
1731,118488.414
1732,129812.91
1733,113740.625
1734,116885.38
1735,127159.65
1736,113452.57
1737,329543.44
1738,215029.0
1739,271380.5
1740,209895.88
1741,199168.44
1742,171982.84
1743,169587.52
1744,321897.9
1745,217100.88
1746,177769.92
1747,226096.73
1748,233476.78
1749,150812.67
1750,130570.03
1751,247078.27
1752,119590.51
1753,140616.31
1754,198105.53
1755,169199.16
1756,119783.18
1757,119332.34
1758,139452.06
1759,158637.45
1760,163284.78
1761,139301.06
1762,175254.53
1763,169634.25
1764,117453.03
1765,165769.33
1766,182664.44
1767,213321.25
1768,144785.14
1769,172346.53
1770,145672.38
1771,124347.09
1772,133419.47
1773,138708.77
1774,122504.3
1775,138484.45
1776,129237.65
1777,116441.016
1778,141546.16
1779,115037.695
1780,177379.23
1781,125380.22
1782,86803.46
1783,144499.73
1784,108166.18
1785,114675.68
1786,142575.12
1787,167954.02
1788,49159.387
1789,98350.14
1790,79678.43
1791,186138.95
1792,155722.61
1793,133413.73
1794,150775.28
1795,136951.36
1796,125626.06
1797,116799.36
1798,123879.086
1799,112776.734
1800,128852.2
1801,129744.46
1802,138324.1
1803,149373.12
1804,141253.27
1805,133597.84
1806,114417.33
1807,121042.09
1808,117881.695
1809,119793.914
1810,150638.61
1811,94274.06
1812,93123.86
1813,120856.85
1814,92685.55
1815,52114.15
1816,89522.695
1817,119443.586
1818,137854.73
1819,124019.28
1820,62941.625
1821,117336.71
1822,145638.47
1823,48179.555
1824,137449.88
1825,132078.66
1826,101063.016
1827,103230.31
1828,132205.44
1829,119624.16
1830,147643.58
1831,153751.56
1832,79033.34
1833,133107.45
1834,120685.234
1835,119957.51
1836,134376.53
1837,83087.625
1838,118113.734
1839,88139.23
1840,168030.11
1841,144288.77
1842,86460.516
1843,128521.336
1844,136760.69
1845,140507.2
1846,157180.47
1847,155340.38
1848,49824.316
1849,111030.414
1850,112797.06
1851,154305.78
1852,124725.016
1853,127431.58
1854,171801.38
1855,132550.22
1856,217585.69
1857,140616.31
1858,141668.5
1859,122670.07
1860,158030.89
1861,122770.72
1862,308078.28
1863,287575.72
1864,288097.84
1865,343481.03
1866,350992.25
1867,245162.73
1868,324669.88
1869,209453.17
1870,229910.56
1871,252451.48
1872,169688.78
1873,238305.9
1874,141521.72
1875,206083.61
1876,191495.14
1877,209515.3
1878,198085.31
1879,131528.23
1880,134789.56
1881,234468.84
1882,259250.84
1883,189988.42
1884,205014.48
1885,252443.78
1886,314389.88
1887,196501.25
1888,260846.23
1889,155388.97
1890,122075.35
1891,140928.58
1892,98584.81
1893,128515.086
1894,121045.56
1895,135489.38
1896,126654.35
1897,115978.43
1898,112618.74
1899,152407.6
1900,146866.7
1901,178158.4
1902,144668.64
1903,206755.28
1904,146104.23
1905,200872.64
1906,165890.16
1907,187583.47
1908,113010.91
1909,133236.62
1910,119878.375
1911,206679.19
1912,272041.53
1913,149828.25
1914,66339.07
1915,328213.6
1916,67912.19
1917,260603.06
1918,141735.27
1919,163986.56
1920,150662.02
1921,446349.16
1922,326772.84
1923,219771.05
1924,211844.55
1925,196370.69
1926,419632.25
1927,129733.33
1928,144655.12
1929,115281.73
1930,134972.61
1931,149990.52
1932,140927.11
1933,180702.55
1934,179166.06
1935,171010.05
1936,187420.58
1937,182880.39
1938,168044.06
1939,252057.2
1940,189183.48
1941,174092.3
1942,181579.25
1943,215650.84
1944,367248.53
1945,405067.1
1946,133178.69
1947,328912.66
1948,168767.58
1949,238377.28
1950,182591.45
1951,242843.2
1952,178044.78
1953,165214.25
1954,191441.45
1955,132540.98
1956,278621.12
1957,154947.25
1958,315244.03
1959,140444.77
1960,114339.12
1961,123684.43
1962,94039.16
1963,100956.664
1964,108922.56
1965,148842.86
1966,144579.12
1967,273864.2
1968,441898.53
